standardized,raw_aliases
Single Family,single family|one fam|one fam w acc|single family residential
Vacant Land,vacant land|vacant - pot dev|vacant|res land|potnldev|undev|dev land|developable residential land|potentially developable residential land
Two Family,two family|2 family
Three Family,3 family
